file_path,file_name,status,file_type,parse_method,chunk_count,avg_token_per_chunk,school_detected,year_detected,doc_type,has_ocr,char_count_raw,char_count_clean,needs_review,error_msg,processed_at
11 GPA/11.1 AP/广东_HFI/2023 PeerBuddy Course Registration Guide 选课指南.pdf,2023 PeerBuddy Course Registration Guide 选课指南.pdf,success,.pdf,pdfplumber,158,217,广东_HFI,2023,课程介绍,False,58718,54523,False,,2026-06-04
11 GPA/11.1 AP/青岛_博格斯/2020_南加大和佐治亚理工_Alice.pdf,2020_南加大和佐治亚理工_Alice.pdf,success,.pdf,pdfplumber,6,722,青岛_博格斯,2020,其他,False,5158,4255,False,,2026-06-04
11 GPA/11.1 AP/青岛_博格斯/2019_范德堡大学ED教育学_Jerry.pdf,2019_范德堡大学ED教育学_Jerry.pdf,success,.pdf,pdfplumber,7,610,青岛_博格斯,2019,其他,False,4770,4460,False,,2026-06-04
11 GPA/11.1 AP/青岛_博格斯/2020_UWM & 伦斯特理工.pdf,2020_UWM & 伦斯特理工.pdf,success,.pdf,pdfplumber,12,234,青岛_博格斯,2020,其他,False,4551,2934,False,,2026-06-04
11 GPA/11.1 AP/青岛_博格斯/2019年录取结果.pdf,2019年录取结果.pdf,success,.pdf,pdfplumber,3,582,青岛_博格斯,2019,录取结果,False,1750,1868,False,,2026-06-04
11 GPA/11.1 AP/青岛_博格斯/青岛博格思加州学校国际高中班招生简章.pdf,青岛博格思加州学校国际高中班招生简章.pdf,success,.pdf,pdfplumber,14,151,青岛_博格斯,unknown,招生简章,False,2755,2092,False,,2026-06-04
11 GPA/11.1 AP/广东_实验中学国际部/[1] 20220430 高二动员大会重要事项(1).pdf,[1] 20220430 高二动员大会重要事项(1).pdf,success,.pdf,pdfplumber,10,100,广东_实验中学国际部,2022,其他,False,1648,1107,False,,2026-06-04
11 GPA/11.1 AP/上海_美国人学校/UpdatedPXCatalog.pdf,UpdatedPXCatalog.pdf,success,.pdf,pdfplumber,161,254,上海_美国人学校,unknown,其他,False,168504,181954,False,,2026-06-04
11 GPA/11.1 AP/上海_美国人学校/HSPDCourseCatalog2223Feb16.pdf,HSPDCourseCatalog2223Feb16.pdf,success,.pdf,pdfplumber,117,349,上海_美国人学校,unknown,课程介绍,False,179513,192687,False,,2026-06-04
11 GPA/11.1 AP/美国_Gunn/2021-2022 Student Handbook.pdf,2021-2022 Student Handbook.pdf,success,.pdf,pdfplumber,184,153,美国_Gunn,2021,课程介绍,False,140501,132638,False,,2026-06-04
11 GPA/11.1 AP/广东_贝赛斯国际学校/BIGZ Senior Project 2022-23.pdf,BIGZ Senior Project 2022-23.pdf,success,.pdf,pdfplumber,43,427,广东_贝赛斯国际学校,2022,其他,False,53292,54428,False,,2026-06-04
11 GPA/11.1 AP/广东_贝赛斯国际学校/G10_Elective Catalog_2022-23.pdf,G10_Elective Catalog_2022-23.pdf,success,.pdf,tesseract-ocr,32,118,广东_贝赛斯国际学校,2022,其他,True,18938,17399,False,,2026-06-04
